"word","freq"
"of the",21579
"in the",20347
"to the",10738
"for the",10010
"on the",9619
"to be",7906
"at the",7110
"and the",6316
"in a",6043
"with the",5122
"is a",5073
"it was",4774
"for a",4738
"i was",4307
"from the",4285
"i have",4280
"with a",4100
"will be",4063
"and i",4037
"it is",3979
"of a",3903
"going to",3880
"i am",3719
"have a",3714
"is the",3676
"one of",3593
"if you",3530
"to get",3483
"as a",3468
"want to",3241
"have to",3135
"by the",3074
"this is",2966
"that the",2956
"the first",2924
"i think",2876
"and a",2848
"to do",2846
"was a",2812
"out of",2781
"to a",2670
"that i",2658
"to see",2642
"on a",2621
"i love",2618
"but i",2564
"all the",2537
"the same",2466
"you can",2444
"to make",2424
"a lot",2422
"have been",2363
"be a",2360
"has been",2239
"thanks for",2235
"he was",2232
"when i",2230
"would be",2227
"you are",2207
"i don't",2192
"about the",2186
"need to",2185
"in my",2184
"of my",2168
"a few",2162
"more than",2140
"i had",2089
"a great",2057
"as the",2053
"to go",2050
"you have",2031
"the best",2018
"a little",1985
"he said",1975
"i can",1973
"a good",1963
"i know",1960
"had a",1948
"thank you",1932
"to have",1931
"into the",1905
"they are",1862
"we are",1860
"i just",1829
"is not",1803
"there is",1803
"that is",1732
"over the",1688
"a new",1687
"i will",1678
"the new",1670
"the world",1667
"part of",1665
"the most",1662
"there are",1638
"so i",1630
"lot of",1621
"like a",1598
"so much",1598
"we have",1593
"do you",1571
"trying to",1559
"was the",1558
"on my",1540
"i would",1539
"at least",1508
"all of",1479
"u s",1472
"and then",1465
"but the",1463
"as well",1460
"the way",1449
"you know",1439
"to me",1408
"some of",1402
"back to",1393
"are you",1383
"the time",1382
"can be",1371
"able to",1365
"if i",1365
"the last",1349
"for me",1339
"of his",1330
"the other",1330
"at a",1326
"up to",1324
"the next",1321
"i want",1316
"that was",1309
"is that",1293
"time to",1292
"p m",1271
"to take",1269
"go to",1268
"way to",1263
"in this",1258
"to my",1251
"said the",1238
"and it",1218
"when you",1217
"he is",1190
"i could",1190
"that he",1187
"according to",1175
"they were",1175
"when the",1174
"of this",1170
"right now",1169
"be the",1168
"had to",1168
"the only",1160
"should be",1155
"kind of",1153
"to say",1150
"the end",1148
"in his",1132
"what i",1132
"but it",1130
"of course",1130
"as i",1108
"me to",1103
"and that",1101
"of our",1100
"this year",1091
"the day",1082
"that it",1075
"has a",1074
"with my",1065
"that you",1061
"i got",1058
"like the",1057
"from a",1051
"a bit",1044
"how to",1043
"it to",1029
"i can't",1028
"after the",1027
"it's a",1025
"i need",1020
"get a",998
"would have",994
"she was",992
"through the",991
"it would",987
"new york",984
"said he",974
"not a",965
"last year",964
"for you",962
"out the",958
"into a",957
"of them",956
"wanted to",955
"i do",952
"i hope",949
"and we",944
"end of",942
"like to",942
"that we",942
"most of",940
"for my",938
"to keep",938
"which is",938
"of their",937
"the state",934
"to work",934
"this week",932
"to help",924
"are the",923
"that they",920
"it will",918
"we can",915
"such as",911
"i'm not",910
"i thought",901
"is to",897
"have the",896
"during the",893
"not to",893
"what you",892
"up the",890
"such a",881
"the city",880
"they have",880
"we were",878
"to find",875
"love you",872
"the past",871
"to you",867
"had been",865
"there was",865
"i feel",864
"could be",863
"and his",857
"by a",857
"he has",854
"up with",854
"a big",852
"of it",852
"used to",851
"up and",850
"do it",849
"you want",849
"and he",841
"in an",840
"you to",840
"did not",838
"make it",836
"off the",834
"when he",833
"if the",828
"forward to",823
"she said",822
"to come",822
"out to",819
"around the",817
"about it",814
"i get",812
"a very",811
"last night",811
"i did",810
"and you",804
"can't wait",804
"of your",801
"i like",800
"you will",792
"try to",790
"because of",788
"in their",788
"the right",787
"do not",784
"me and",784
"of those",783
"are not",780
"know what",778
"what is",776
"it and",773
"to give",773
"and other",769
"it has",769
"the game",767
"get to",766
"in your",766
"see you",762
"and they",758
"he had",754
"is an",754
"a couple",752
"before the",752
"just a",750
"the second",749
"look at",743
"make a",740
"my life",737
"see the",734
"people who",733
"the u",733
"well as",733
"of all",732
"the rest",730
"been a",729
"i really",728
"looking for",727
"is it",725
"for this",717
"a long",716
"did you",715
"is in",712
"high school",709
"so many",709
"not the",707
"got a",706
"no one",705
"to know",705
"a year",704
"i didn't",704
"don't know",700
"in our",697
"of you",697
"is going",691
"who is",687
"a m",686
"if they",685
"up in",685
"get the",681
"is so",681
"at all",680
"the house",680
"it's not",679
"that would",679
"them to",679
"to play",679
"of her",678
"because i",677
"on this",677
"take a",677
"when it",676
"be in",675
"it in",675
"years ago",675
"enough to",673
"are a",671
"of us",671
"know that",668
"the top",667
"you for",666
"to use",665
"you don't",665
"not be",664
"of that",662
"follow me",660
"me i",657
"we will",656
"let me",655
"may be",655
"than the",654
"be able",653
"for all",653
"for your",652
"after a",651
"was not",651
"is no",649
"check out",647
"with you",646
"last week",645
"instead of",643
"the one",643
"and in",642
"time i",642
"to start",641
"we had",640
"you get",639
"this morning",637
"was in",636
"but he",635
"on your",634
"feel like",631
"when they",631
"how much",630
"she is",630
"you think",625
"i hate",620
"number of",617
"to hear",616
"so far",615
"with his",615
"and not",614
"to all",613
"went to",606
"rest of",605
"come to",604
"first time",604
"hope you",604
"those who",604
"hard to",603
"what a",603
"of these",602
"what the",602
"down the",596
"back in",594
"does not",594
"you and",592
"lots of",591
"ready to",590
"up for",589
"i've been",587
"the people",587
"now i",586
"love to",585
"that a",585
"couple of",584
"the whole",584
"to his",584
"me a",583
"too much",582
"you do",582
"with me",580
"and my",579
"in that",579
"out there",579
"is one",578
"on his",578
"for his",576
"got to",575
"looking forward",575
"it all",574
"many of",572
"to your",572
"away from",569
"who are",569
"and is",568
"and to",568
"you guys",568
"you need",568
"that are",567
"i don’t",566
"the year",565
"will have",563
"as an",561
"wait to",560
"time for",558
"i guess",557
"the fact",557
"it out",555
"must be",553
"the two",553
"not only",551
"when we",551
"to this",550
"is my",549
"of people",548
"as it",547
"to put",547
"this time",546
"this weekend",546
"about a",545
"for an",545
"the company",544
"of what",543
"i wish",540
"it i",540
"where the",540
"don't have",538
"who was",538
"their own",537
"in which",536
"of an",536
"might be",535
"my favorite",535
"against the",534
"as much",534
"if it",534
"up a",533
"you should",533
"know how",532
"to win",532
"if we",531
"like that",531
"up on",530
"across the",527
"out and",526
"of its",525
"thanks to",525
"this was",525
"we need",525
"each other",523
"having a",522
"love the",522
"need a",522
"or a",522
"to watch",520
"on their",519
"but not",518
"have you",518
"that will",518
"wants to",518
"said that",517
"with an",517
"and was",516
"and more",514
"him to",514
"than a",513
"is just",512
"along with",509
"and all",509
"has to",508
"said it",508
"talking about",506
"under the",506
"better than",505
"to our",505
"the book",503
"to her",503
"you were",503
"decided to",501
"it up",501
"needs to",501
"think i",501
"who has",498
"for more",495
"i see",494
"as we",493
"fact that",493
"or the",493
"to try",493
"a day",492
"make the",492
"working on",492
"with her",490
"what they",489
"that she",488
"tried to",488
"for it",487
"i still",486
"the team",486
"based on",485
"looks like",485
"as he",484
"st louis",484
"the story",483
"a small",482
"say that",482
"talk about",482
"about to",481
"for some",481
"love it",481
"as they",480
"make sure",480
"so that",480
"could have",479
"get it",479
"in her",478
"a man",476
"is still",475
"can do",474
"down to",474
"had the",474
"the case",474
"there were",471
"a week",470
"so we",470
"was just",470
"what we",470
"will not",470
"even if",469
"in fact",469
"ready for",469
"the big",469
"at this",468
"do i",468
"and have",467
"i wanted",467
"my own",466
"then i",465
"and now",464
"to think",464
"on it",463
"the country",463
"to pay",463
"but they",462
"have no",462
"it a",461
"like this",461
"this one",461
"a while",460
"even though",460
"happy birthday",460
"to it",460
"time and",458
"i'm going",456
"they will",456
"because it",455
"in new",453
"was so",453
"that has",452
"with it",452
"i should",451
"but we",450
"is what",450
"for that",449
"going on",449
"he would",449
"the future",449
"bit of",448
"can you",446
"to meet",446
"i'll be",445
"not sure",445
"and get",444
"and she",443
"as you",443
"i used",443
"on to",443
"to talk",443
"with your",443
"and if",442
"that this",442
"they can",441
"to an",440
"to read",440
"with this",439
"and so",437
"for our",436
