"word","freq"
"the end of the",365
"the rest of the",363
"at the end of",338
"for the first time",315
"thanks for the follow",309
"at the same time",255
"when it comes to",226
"one of the most",206
"is going to be",200
"to be able to",186
"in the middle of",182
"is one of the",180
"thanks for the rt",177
"thank you for the",173
"going to be a",168
"if you want to",152
"in the u s",142
"one of the best",140
"can't wait to see",133
"the top of the",130
"by the end of",124
"i am going to",124
"a lot of people",123
"in the united states",122
"i was going to",120
"thank you so much",119
"i don't want to",118
"for the rest of",115
"one of my favorite",115
"the middle of the",115
"was one of the",114
"it's going to be",111
"as well as the",109
"on the other hand",106
"i can't wait to",102
"in front of the",98
"the first time in",98
"the bottom of the",96
"for a long time",94
"have a great day",94
"i would love to",94
"i wish i could",92
"i would like to",92
"a bit of a",91
"hope to see you",91
"to go to the",89
"will be able to",89
"what do you think",87
"have a lot of",85
"have a great weekend",82
"are you going to",81
"thanks so much for",81
"on my way to",80
"a little bit of",79
"going to have to",79
"a member of the",78
"as part of the",77
"the back of the",77
"as one of the",75
"be a part of",75
"i want to be",75
"there are so many",75
"i don't know what",74
"a few years ago",73
"at the university of",72
"in the first place",72
"was going to be",72
"as much as i",71
"i have to say",71
"said in a statement",70
"end of the day",69
"i have no idea",69
"i thought it was",69
"thanks for the mention",69
"for the most part",68
"as a result of",67
"i just want to",67
"looking forward to the",67
"turned out to be",66
"you don't have to",66
"are a lot of",65
"hope you have a",65
"if you have a",65
"nothing to do with",65
"a lot of time",64
"had a great time",64
"i look forward to",64
"the best way to",64
"to the u s",64
"at the time of",63
"at the top of",62
"i feel like i",62
"there are a lot",61
"as part of a",60
"we are going to",60
"i was able to",59
"most of the time",59
"a part of the",58
"i don't know how",58
"in addition to the",58
"looking forward to it",58
"of the united states",58
"so much for the",58
"to get out of",58
"7 30 p m",57
"as soon as i",57
"i don't know if",57
"let me know if",57
"thank you for your",57
"to be in the",57
"to do with the",57
"you have to do",57
"on the other side",56
"you are going to",56
"are going to be",55
"as well as a",55
"be one of the",55
"in the face of",55
"in the form of",55
"it would be a",55
"the first time i",55
"to go back to",55
"a great way to",54
"did you know that",54
"do you want to",54
"in the midst of",54
"on the way to",54
"the fact that i",54
"this is going to",54
"do you have a",53
"it was a great",53
"the beginning of the",53
"the new york times",53
"there will be a",53
"for those of you",52
"i'm not going to",52
"in a way that",52
"the start of the",52
"you want to be",52
"in the case of",51
"the fact that the",51
"those of you who",51
"to be part of",51
"when i was a",51
"is one of my",50
"was supposed to be",50
"you would like to",50
"one of the few",49
"the first time since",49
"to be a part",49
"to the top of",49
"a lot of fun",48
"i wish i had",48
"looking forward to seeing",48
"on top of the",48
"this is one of",48
"to be one of",48
"trying to figure out",48
"can i get a",47
"had a lot of",47
"in new york city",47
"in the fourth quarter",47
"one of the first",47
"thanks for the #ff",47
"to get to the",47
"you have to be",47
"from time to time",46
"i want to go",46
"in the process of",46
"it would have been",46
"some of the best",46
"that awkward moment when",46
"the name of the",46
"the rest of my",46
"the time of the",46
"what are you doing",46
"a few of the",45
"as long as i",45
"at the beginning of",45
"can't wait for the",45
"i thought i was",45
"the only way to",45
"the side of the",45
"thought it would be",45
"to come up with",45
"to get rid of",45
"with the help of",45
"a lot of the",44
"and one of the",44
"don't want to be",44
"hope you had a",44
"i need to get",44
"not be able to",44
"of the u s",44
"over the course of",44
"take a look at",44
"the other side of",44
"to make sure that",44
"going to be the",43
"i'm looking forward to",43
"i really want to",43
"i wish i was",43
"in the name of",43
"know what to do",43
"should be able to",43
"the end of this",43
"a lot of things",42
"for the shout out",42
"i don't know why",42
"i love you so",42
"i want to do",42
"i was in the",42
"in the first half",42
"it has to be",42
"it will be a",42
"one of the things",42
"thanks for the shout",42
"to get back to",42
"a couple of weeks",41
"and a lot of",41
"at the start of",41
"be able to get",41
"for a few days",41
"if you have any",41
"in front of a",41
"in the back of",41
"it was time to",41
"to take care of",41
"as far as i",40
"contributed to this report",40
"get out of the",40
"i want to see",40
"in one of the",40
"in the first round",40
"is part of the",40
"makes me want to",40
"this is not a",40
"this is the first",40
"this time of year",40
"to the fact that",40
"you don't want to",40
"a spokesman for the",39
"all of a sudden",39
"as long as you",39
"happy mothers day to",39
"i just wanted to",39
"in the second half",39
"it has been a",39
"it was a good",39
"may or may not",39
"the only one who",39
"there is a lot",39
"wait to see you",39
"what do you do",39
"when i was in",39
"with a lot of",39
"would be a good",39
"you have a great",39
"you so much for",39
"6 30 p m",38
"a chance to win",38
"all the way to",38
"as you can see",38
"be part of the",38
"figure out how to",38
"happy mother's day to",38
"hope all is well",38
"i don't think i",38
"i had no idea",38
"in an effort to",38
"in the first quarter",38
"it was one of",38
"it was the first",38
"love you so much",38
"of one of the",38
"the heart of the",38
"to check it out",38
"to take advantage of",38
"a few weeks ago",37
"a great deal of",37
"can't wait to get",37
"come up with a",37
"for a couple of",37
"have to do is",37
"i'm going to be",37
"i thought i would",37
"in front of me",37
"in the way of",37
"let me know what",37
"thanks for the retweet",37
"the last time i",37
"the rest of us",37
"there are a few",37
"a look at the",36
"a lot of work",36
"find a way to",36
"for the sake of",36
"he was going to",36
"i don’t want to",36
"in and out of",36
"in the wake of",36
"just got back from",36
"not going to be",36
"one of the biggest",36
"the center of the",36
"the first day of",36
"the front of the",36
"the united states and",36
"you can see the",36
"a couple of years",35
"at a time when",35
"at the bottom of",35
"great to see you",35
"has a lot of",35
"i don't have a",35
"i thought it would",35
"if you would like",35
"in the same way",35
"in washington d c",35
"is a lot of",35
"it is important to",35
"keep up the good",35
"more than a year",35
"once in a while",35
"over and over again",35
"said in an interview",35
"to be a good",35
"to be on the",35
"to share with you",35
"want to be a",35
"want to go to",35
"a couple of days",34
"back in the day",34
"but i don't think",34
"executive director of the",34
"forward to seeing you",34
"i can't wait for",34
"i have to get",34
"in a long time",34
"in an attempt to",34
"in the history of",34
"know what you think",34
"really looking forward to",34
"the majority of the",34
"the only thing that",34
"the past two years",34
"the way to the",34
"to be the best",34
"u s department of",34
"was the first time",34
"wish i could be",34
"and i have to",33
"and the rest of",33
"at 7 p m",33
"be sure to check",33
"by the time i",33
"do you have any",33
"end of the year",33
"have a good day",33
"have to go to",33
"how much i love",33
"i feel like i'm",33
"i miss you too",33
"i was trying to",33
"if you are a",33
"in the bottom of",33
"thank you thank you",33
"to learn more about",33
"up the good work",33
"would love to hear",33
"would love to see",33
"you just have to",33
"11 30 a m",32
"a few days ago",32
"all over the world",32
"as a way to",32
"at the age of",32
"but at the same",32
"for more than a",32
"going to have a",32
"had a chance to",32
"has nothing to do",32
"hundreds of thousands of",32
"i didn't want to",32
"i hope you have",32
"i want you to",32
"in the next few",32
"my husband and i",32
"nice to meet you",32
"not being able to",32
"of some of the",32
"out to be a",32
"rest of the day",32
"thanks for all the",32
"to check out the",32
"was a lot of",32
"you please follow me",32
"a whole lot of",31
"be able to do",31
"do i have to",31
"end of the month",31
"have been able to",31
"have the right to",31
"have to be a",31
"i don't have to",31
"i don’t know if",31
"i have to go",31
"i love you too",31
"i was a little",31
"in the right direction",31
"not a fan of",31
"one of my favorites",31
"thank you very much",31
"to figure out how",31
"to say that i",31
"to say the least",31
"to the point of",31
"told the associated press",31
"was one of those",31
"we look forward to",31
"x x x x",31
"a little bit more",30
"a result of the",30
"and i have a",30
"and i have been",30
"are some of the",30
"don't know how to",30
"fell in love with",30
"go back to the",30
"going to be able",30
"have a chance to",30
"i can tell you",30
"i have to be",30
"i just need to",30
"i know i know",30
"i think this is",30
"it comes to the",30
"it is hard to",30
"one of the reasons",30
"other side of the",30
"out of the way",30
"seems to be a",30
"so i decided to",30
"so that i can",30
"tens of thousands of",30
"thanks for following me",30
"the next few days",30
"there's a lot of",30
"there are plenty of",30
"this is my first",30
"those of us who",30
"we were able to",30
"what was going on",30
"will be at the",30
"would have to be",30
"you know what i",30
"8 30 p m",29
"a huge fan of",29
"and i want to",29
