"word","freq"
"one of the",1713
"a lot of",1541
"thanks for the",1190
"to be a",902
"going to be",821
"i want to",773
"out of the",757
"the end of",739
"as well as",711
"the u s",685
"some of the",666
"part of the",650
"be able to",646
"it was a",642
"i have to",604
"i have a",600
"the rest of",581
"looking forward to",552
"the first time",514
"is going to",502
"thank you for",499
"you have to",499
"a couple of",488
"this is a",480
"i love you",464
"end of the",462
"the fact that",457
"there is a",452
"in the world",438
"i need to",432
"it would be",429
"you want to",427
"i don't know",419
"at the end",416
"there is no",415
"one of my",413
"to go to",410
"for the first",409
"it is a",405
"can't wait to",401
"this is the",401
"most of the",399
"in the first",393
"for the follow",391
"to have a",387
"i had a",386
"i'm going to",384
"rest of the",371
"is one of",370
"you have a",370
"all of the",366
"according to the",361
"have a great",356
"in front of",351
"the united states",350
"to be the",350
"i have been",347
"i had to",345
"if you are",339
"in the past",339
"when i was",337
"to make a",330
"of the day",328
"in order to",326
"of the year",326
"back to the",325
"i think i",325
"if you have",323
"at the time",318
"i wanted to",318
"it will be",317
"to see the",316
"want to be",314
"as much as",311
"i don't think",310
"was going to",309
"we need to",300
"to see you",298
"have to be",297
"i will be",297
"at the same",296
"to get a",296
"as long as",292
"a bit of",290
"are going to",290
"it was the",286
"let me know",285
"if you want",284
"i feel like",282
"the same time",281
"one of those",279
"what do you",275
"don't want to",273
"there was a",267
"all the time",266
"would like to",264
"of the most",263
"we have a",263
"a little bit",262
"to do with",262
"30 p m",261
"in the middle",260
"to make it",256
"you need to",255
"go to the",254
"when it comes",247
"i am not",244
"will be a",244
"not going to",241
"it comes to",240
"would love to",240
"because of the",238
"i hope you",238
"to be in",238
"i love the",235
"in the same",235
"i wish i",234
"is not a",232
"would be a",232
"to do it",231
"and it was",230
"the middle of",230
"was one of",230
"do you think",229
"in the morning",229
"so i can",229
"as part of",227
"for the rt",227
"a chance to",226
"a long time",226
"i know i",224
"of the best",224
"in my life",223
"is the best",222
"it is the",222
"that would be",221
"that i have",220
"and i have",219
"i was a",219
"need to be",218
"that it was",218
"to get the",218
"look forward to",216
"more than a",216
"would have been",215
"a part of",213
"on the other",213
"do you have",211
"has been a",210
"i am so",210
"in new york",210
"side of the",210
"in addition to",208
"in the last",208
"to take a",208
"the number of",207
"look at the",204
"as soon as",203
"for a while",203
"for me to",203
"to make the",202
"in love with",201
"up in the",201
"the university of",200
"will have to",198
"and i am",197
"the top of",197
"how are you",196
"i can't wait",196
"top of the",196
"part of a",195
"there will be",195
"i have no",194
"to make sure",194
"back in the",193
"had a great",193
"a great day",192
"for the next",192
"said in a",192
"a number of",190
"i was in",190
"it is not",190
"he was a",189
"it has been",189
"up to the",188
"but it was",187
"to be able",187
"you for the",187
"to say that",186
"is in the",185
"seems to be",184
"looking for a",183
"of the world",182
"we have to",182
"you so much",182
"supposed to be",181
"that it is",181
"will be the",181
"a way to",180
"how do you",180
"i used to",180
"many of the",180
"at a time",179
"be sure to",179
"have to do",179
"i think the",179
"so much for",179
"wait to see",179
"i decided to",177
"i think it",177
"is expected to",177
"and i was",176
"wish i could",176
"can't wait for",175
"check it out",175
"for a few",175
"i don't have",175
"i don't want",175
"know how to",175
"there was no",175
"to get to",175
"a bunch of",174
"check out the",174
"if you don't",174
"what are you",174
"you can see",174
"this is not",173
"away from the",172
"trying to get",172
"going to have",170
"in the end",170
"members of the",170
"that i was",169
"the back of",169
"i went to",168
"thanks so much",168
"” he said",167
"and it is",167
"i am a",167
"we want to",167
"a few years",166
"but it is",166
"of my favorite",166
"over the years",166
"the new york",166
"was in the",166
"as far as",165
"has to be",165
"i know that",165
"i would have",165
"in the second",165
"of the season",165
"want to see",164
"will not be",164
"at this point",163
"in terms of",163
"is a great",163
"thanks for following",163
"all the way",162
"but i think",162
"i think that",162
"the name of",162
"of the new",161
"to see what",161
"to talk to",161
"by the time",160
"was the first",160
"we had a",160
"a few days",159
"be in the",159
"he said he",159
"i need a",159
"we will be",159
"and i think",158
"be a good",158
"go back to",158
"need to get",158
"of the first",158
"to talk about",158
"have a good",157
"the kind of",157
"i love it",155
"needs to be",155
"going to the",154
"it in the",154
"to try to",154
"is a good",153
"to find out",153
"one of them",152
"the idea of",152
"up with a",152
"want to go",152
"and of course",151
"of my life",151
"over the past",151
"that he was",151
"a series of",150
"it can be",150
"on top of",150
"i was going",149
"in the u",149
"is the only",149
"it to the",149
"the bottom of",149
"the same thing",149
"to find a",149
"to keep the",149
"what to do",149
"get out of",148
"i thought i",148
"out in the",148
"when he was",148
"you know what",148
"he said the",147
"in the future",147
"please follow me",147
"the only one",147
"said he was",146
"of all the",145
"as a result",144
"going to get",144
"it's going to",144
"that i am",144
"a pair of",143
"want to do",143
"a group of",142
"and in the",142
"but i don't",142
"and i will",141
"that was a",141
"to see if",141
"all over the",140
"i am going",140
"much of the",140
"percent of the",140
"the only thing",140
"a variety of",139
"according to a",139
"there are a",139
"to see how",139
"i don’t know",138
"is not the",138
"of the time",138
"the way to",138
"for more than",137
"i'm not sure",137
"new york city",137
"front of the",136
"i got a",136
"on the way",136
"the opportunity to",136
"to deal with",136
"30 a m",135
"i miss you",135
"in a few",135
"member of the",135
"to figure out",135
"to use the",135
"i was just",134
"i would love",134
"if you can",134
"to all the",134
"a little more",133
"i do not",133
"to think about",133
"but i have",132
"don't have to",132
"for all the",132
"i get to",132
"i love my",132
"in the house",132
"no matter what",132
"to do that",132
"you know that",132
"by the end",131
"i think we",131
"in the next",131
"is on the",131
"used to be",131
"was able to",131
"would be the",131
"am going to",130
"and if you",130
"in the united",130
"on the road",130
"the beginning of",130
"up with the",130
"went to the",130
"a great time",129
"any of the",129
"this is what",129
"did you know",128
"going to do",128
"i like to",128
"i thought it",128
"in the face",128
"a member of",127
"for all of",127
"i think it's",127
"lot of people",127
"of the game",127
"thank you so",127
"to do a",127
"you are a",127
"you will be",127
"in the city",126
"no matter how",126
"president of the",126
"for the rest",125
"the right to",125
"a good day",124
"come up with",124
"for the last",124
"have been a",124
"i would like",124
"every time i",123
"in my head",123
"such as the",123
"that is the",123
"the time to",123
"to look at",123
"been able to",122
"by the way",122
"don't know what",122
"for a long",122
"i like the",122
"let us know",122
"to get back",122
"to take the",122
"more and more",121
"that i can",121
"a lot more",120
"a piece of",120
"and this is",120
"are in the",120
"have a lot",120
"just want to",120
"middle of the",120
"said it was",120
"the start of",120
"and i love",119
"just have to",119
"out to be",119
"to work with",119
"for a new",118
"hope to see",118
"is the most",118
"on my way",118
"out of a",118
"the people who",118
"this is my",118
"you can get",118
"a list of",117
"around the world",117
"for you to",117
"in the area",117
"some of my",117
"that you can",117
"the time of",117
"thought it was",117
"a m to",116
"and a half",116
"director of the",116
"i love that",116
"the cost of",116
"they want to",116
"to work on",116
"a few of",115
"have no idea",115
"is that the",115
"that this is",115
"the use of",115
"to be an",115
"we're going to",115
"with all the",115
"a few weeks",114
"but i am",114
"first time in",114
"have to get",114
"have to go",114
"i would be",114
"in a statement",114
"that i had",114
"the amount of",114
"the same way",114
"was a great",114
"a matter of",113
"at the top",113
"i wonder if",113
"in the state",113
"or at least",113
"that they are",113
"the most important",113
"to get my",113
"want to get",113
"would have to",113
"you don't have",113
"a great weekend",112
"a year ago",112
"do you know",112
"had to be",112
"have to say",112
"i can get",112
"out of my",112
"seem to be",112
"that was the",112
"the last time",112
"the next day",112
"you can do",112
"bit of a",111
"i can do",111
"is such a",111
"may not be",111
"the ability to",111
"all of us",110
"and i don't",110
"down to the",110
"it was just",110
"take care of",110
"to be on",110
"to do the",110
"to get it",110
"to pay for",110
"well as the",110
"and have a",109
"in st louis",109
"over the last",109
"that is a",109
"the lack of",109
"there are no",109
"to do this",109
"to have to",109
"if i could",108
"that you are",108
"the other hand",108
"to all of",108
"to create a",108
"10 a m",107
"based on the",107
"being able to",107
"for more information",107
"for those who",107
"i had the",107
"in a row",107
"one of our",107
"to get out",107
"up on the",107
"what kind of",107
"bottom of the",106
"for the past",106
"get to the",106
"happy birthday to",106
"in the back",106
"sounds like a",106
"thank you to",106
"the best of",106
"the way i",106
"the white house",106
"to do something",106
"to pick up",106
"to tell you",106
"be on the",105
"but if you",105
"due to the",105
"i try to",105
"in the air",105
"in the country",105
"out on the",105
"the power of",105
"to come to",105
"as one of",104
"feel like i",104
"i don't like",104
"is the first",104
"it to be",104
"it was not",104
"of the week",104
"shout out to",104
"that there is",104
"that we have",104
"to do so",104
"a good time",103
"i'd like to",103
"i just want",103
"it should be",103
"so we can",103
"the time i",103
"to me and",103
"what is the",103
"you are not",103
"and all the",102
"and i had",102
"could have been",102
"i did not",102
"it was so",102
"on the floor",102
"that he had",102
"to have the",102
"to listen to",102
"to see a",102
"a picture of",101
"of the same",101
"this was a",101
"feel free to",100
"get back to",100
"in the way",100
"it's been a",100
"it as a",100
"it could be",100
"make sure you",100
"of the people",100
"one of his",100
"ready for the",100
"the other day",100
"time to get",100
"to see it",100
"to the point",100
"all of this",99
"he is a",99
"in the process",99
"it's hard to",99
"more of a",99
"of the way",99
"the other side",99
"up for the",99
"was on the",99
"will continue to",99
"a good thing",98
"and we are",98
"as it is",98
"at the moment",98
"can be a",98
"happy new year",98
"i can see",98
"if i had",98
"is a very",98
"people in the",98
"that i would",98
"the need to",98
"to the next",98
"to the top",98
"want to know",98
"a fan of",97
"a few more",97
"as you can",97
"i can't believe",97
"if you need",97
"over the next",97
"that will be",97
"the only way",97
"the story of",97
"to find the",97
"how much i",96
"i got to",96
"in the case",96
"one of these",96
"the federal government",96
"what it is",96
"will be in",96
"a lot to",95
"all of you",95
"didn't want to",95
"don't have a",95
"each of the",95
"i could have",95
"i think you",95
"in new jersey",95
"in the early",95
"the last two",95
"they are not",95
"are you going",94
"for the mention",94
"going to go",94
"i have the",94
"in the third",94
"it looks like",94
"my way to",94
"not to be",94
"out to the",94
"the history of",94
"the st louis",94
"the world is",94
"they have a",94
"to do is",94
"a sense of",93
"and one of",93
"be a great",93
"but i was",93
"don't know how",93
"for the new",93
"i get a",93
"in a way",93
"in the car",93
"that can be",93
"that he is",93
"wait for the",93
"when i get",93
"you going to",93
"7 p m",92
"a few minutes",92
"a handful of",92
"a look at",92
"a result of",92
"all of them",92
"and you can",92
"happy mothers day",92
"i was so",92
"just a few",92
"me and my",92
"me in the",92
"that we are",92
"was supposed to",92
"will be on",92
"and that is",91
"at least one",91
"forward to the",91
"i didn't know",91
"is trying to",91
"on the first",91
"that is not",91
"the age of",91
"the course of",91
"there are many",91
"to be more",91
"to check out",91
"and will be",90
"be the best",90
"i like it",90
"in los angeles",90
"in the new",90
"in this case",90
"me and i",90
"not to mention",90
"of the things",90
"on the same",90
"people who are",90
"so much fun",90
"so you can",90
"that there are",90
"the chance to",90
"the city of",90
"the face of",90
"this will be",90
"to go back",90
"to win the",90
"wanted to be",90
"which is a",90
"will be able",90
"will have a",90
"you had a",90
"able to get",89
"at some point",89
"be part of",89
"but in the",89
"don’t want to",89
"i was thinking",89
"if it was",89
"should have been",89
"the next few",89
"to meet you",89
"was a good",89
"working on a",89
"you and your",89
"11 a m",88
"all of our",88
"and there are",88
"do you want",88
"he wanted to",88
"in other words",88
"in san francisco",88
"is part of",88
"is there a",88
"it was an",88
"little bit of",88
"of the other",88
