"word","freq"
"the",237832
"and",120549
"for",55308
"that",52220
"you",46532
"with",35549
"was",31403
"this",27017
"have",26359
"are",24135
"but",24101
"not",20603
"from",18901
"all",16617
"they",16209
"will",15940
"said",15285
"just",15178
"his",14929
"about",14905
"your",14899
"out",14789
"one",14521
"what",13778
"like",13321
"when",13188
"has",12885
"more",12343
"can",12214
"who",12172
"had",11713
"get",11276
"time",10820
"would",10420
"there",10339
"her",10292
"their",10250
"some",9948
"she",9859
"new",9666
"been",9440
"our",9364
"i'm",9213
"were",9093
"good",8920
"it's",8891
"now",8783
"how",8673
"day",8432
"know",8201
"love",8012
"them",7995
"people",7896
"which",7091
"than",7016
"back",6964
"see",6911
"after",6762
"first",6736
"into",6643
"also",6476
"make",6468
"don't",6417
"only",6408
"its",6396
"other",6340
"think",6281
"last",6255
"over",6252
"great",6193
"going",6184
"then",6166
"much",6054
"too",5910
"him",5829
"because",5797
"could",5714
"really",5612
"year",5573
"two",5569
"way",5500
"”",5479
"got",5426
"want",5397
"today",5392
"well",5383
"even",5318
"work",5257
"did",5133
"still",5092
"right",4955
"here",4953
"off",4953
"where",4933
"thanks",4881
"need",4850
"very",4711
"most",4706
"years",4684
"any",4677
"before",4530
"many",4501
"down",4490
"those",4424
"say",4349
"life",4332
"take",4285
"should",4242
"being",4224
"these",4214
"come",4196
"never",4195
"made",4131
"little",4126
"home",3987
"may",3957
"next",3942
"while",3859
"best",3843
"night",3830
"week",3813
"through",3782
"things",3677
"why",3677
"lol",3581
"school",3557
"game",3527
"something",3519
"happy",3438
"better",3416
"always",3379
"that's",3375
"every",3307
"state",3294
"another",3282
"around",3276
"can't",3246
"look",3234
"world",3188
"show",3178
"long",3110
"big",3060
"again",3018
"since",3013
"man",2956
"few",2943
"same",2931
"feel",2896
"thing",2887
"hope",2871
"help",2852
"city",2850
"such",2819
"three",2799
"–",2773
"keep",2771
"use",2758
"follow",2752
"sure",2724
"own",2716
"find",2712
"lot",2712
"you're",2647
"days",2644
"says",2612
"ever",2583
"part",2582
"does",2571
"each",2569
"getting",2566
"put",2550
"tonight",2544
"looking",2539
"team",2537
"didn't",2510
"until",2510
"—",2500
"house",2495
"place",2486
"family",2483
"i've",2483
"give",2481
"both",2468
"end",2461
"though",2440
"let",2438
"doing",2407
"thank",2394
"old",2389
"morning",2364
"play",2341
"away",2318
"start",2304
"might",2295
"it’s",2293
"000",2271
"used",2262
"season",2260
"free",2222
"everyone",2219
"yes",2202
"left",2193
"found",2182
"during",2177
"book",2176
"without",2171
"done",2168
"thought",2158
"high",2144
"went",2125
"please",2120
"friends",2118
"money",2103
"call",2097
"enough",2091
"having",2077
"told",2077
"fun",2060
"against",2024
"someone",2023
"already",2017
"hard",2009
"bad",2001
"between",1992
"live",1990
"tell",1986
"came",1976
"yet",1973
"i'll",1969
"set",1952
"pretty",1942
"working",1940
"making",1935
"million",1927
"try",1927
"must",1918
"wait",1912
"second",1904
"times",1893
"read",1891
"real",1882
"took",1873
"music",1868
"food",1866
"job",1843
"trying",1843
"once",1822
"percent",1821
"point",1820
"makes",1804
"weekend",1804
"coming",1802
"called",1790
"soon",1777
"nice",1772
"everything",1768
"far",1767
"stop",1761
"story",1757
"actually",1752
"least",1738
"police",1735
"public",1731
"run",1731
"business",1729
"friday",1725
"county",1716
"maybe",1716
"top",1700
"open",1698
"room",1695
"he's",1680
"win",1680
"head",1672
"nothing",1672
"started",1672
"different",1670
"under",1670
"four",1668
"don’t",1656
"talk",1655
"god",1654
"tomorrow",1652
"check",1651
"anything",1633
"later",1625
"bit",1622
"guys",1622
"twitter",1614
"person",1613
"we're",1611
"children",1609
"together",1609
"course",1607
"early",1598
"name",1592
"past",1588
"awesome",1573
"ago",1572
"believe",1564
"kids",1564
"wanted",1561
"less",1560
"anyone",1555
"including",1554
"doesn't",1552
"care",1527
"i’m",1511
"girl",1505
"change",1499
"minutes",1497
"party",1497
"kind",1493
"hey",1486
"watch",1483
"group",1475
"white",1472
"myself",1471
"saw",1466
"friend",1460
"small",1459
"company",1457
"news",1453
"ready",1449
"support",1443
"post",1436
"almost",1435
"center",1433
"water",1433
"hours",1426
"games",1422
"case",1418
"amazing",1403
"haha",1400
"able",1391
"heart",1386
"students",1386
"hit",1377
"mean",1376
"probably",1376
"young",1367
"full",1365
"face",1356
"true",1356
"there's",1355
"office",1351
"president",1346
"watching",1346
"month",1344
"along",1342
"blog",1339
"asked",1337
"com",1337
"months",1337
"hear",1332
"others",1330
"often",1326
"favorite",1320
"forward",1320
"seen",1320
"black",1319
"mind",1319
"class",1316
"miss",1312
"else",1311
"line",1309
"however",1308
"comes",1305
"idea",1305
"five",1303
"half",1302
"finally",1298
"yeah",1297
"whole",1296
"playing",1295
"lost",1294
"fact",1290
"american",1285
"side",1284
"using",1280
"wish",1280
"cool",1274
"car",1273
"remember",1268
"taking",1263
"saturday",1250
"national",1249
"government",1247
"guy",1244
"following",1240
"stay",1239
"plan",1238
"local",1234
"area",1229
"late",1228
"beautiful",1227
"instead",1227
"women",1225
"pay",1220
"become",1219
"monday",1219
"law",1216
"community",1213
"weeks",1212
"needs",1209
"gonna",1195
"summer",1191
"bring",1190
"according",1184
"move",1173
"sometimes",1171
"number",1170
"hate",1169
"birthday",1168
"health",1166
"street",1166
"song",1165
"sunday",1164
"several",1161
"movie",1156
"words",1154
"red",1148
"special",1148
"leave",1144
"share",1141
"service",1136
"cut",1135
"saying",1134
"looks",1130
"country",1128
"former",1126
"park",1126
"word",1124
"baby",1119
"program",1117
"series",1117
"list",1115
"add",1113
"excited",1110
"power",1108
"phone",1107
"important",1106
"thinking",1105
"running",1104
"stuff",1103
"project",1101
"means",1098
"“",1096
"whether",1092
"buy",1091
"couple",1091
"talking",1089
"ask",1087
"outside",1087
"close",1085
"men",1085
"court",1083
"seems",1083
"deal",1082
"problem",1081
"information",1080
"road",1080
"college",1079
"what's",1079
"future",1076
"behind",1075
"john",1062
"heard",1058
"question",1058
"writing",1056
"either",1055
"isn't",1050
"quite",1049
"board",1047
"mom",1046
"tweet",1044
"gets",1041
"hot",1036
"enjoy",1034
"hand",1034
"april",1033
"event",1032
"meet",1032
"turn",1032
"social",1028
"books",1027
"york",1027
"university",1024
"experience",1022
"they're",1022
"i'd",1020
"sleep",1017
"gave",1016
"reason",1014
"rest",1012
"order",1007
"sorry",1007
"history",1003
"green",1000
"reading",1000
"given",996
"wrong",996
"art",994
"beer",994
"living",991
"light",989
"feeling",984
"easy",979
"knew",979
"perfect",978
"six",977
"san",976
"woman",976
"goes",973
"tuesday",971
"especially",969
"thursday",969
"south",968
"needed",964
"members",963
"points",958
"matter",957
"system",957
"fall",955
"played",951
"video",951
"media",950
"across",945
"wasn't",945
"sweet",940
"meeting",939
"third",939
"bill",938
"officials",937
"building",935
"film",935
"north",933
"rather",929
"girls",928
"child",927
"coach",927
"2012",926
"death",926
"chance",924
"market",923
"among",921
"guess",920
"won't",919
"eat",911
"hour",911
"wednesday",910
"felt",909
"pick",906
"added",905
"parents",905
"wants",905
"write",904
"moment",902
"town",901
"let's",898
"tried",896
"available",893
"fans",893
"decided",890
"large",889
"mother",887
"welcome",887
"won",887
"body",886
"lead",886
"march",886
"taken",886
"final",884
"works",884
"shot",883
"short",882
"states",882
"players",881
"spring",880
"report",879
"cause",876
"federal",876
"starting",876
"glad",874
"gone",873
"front",871
"store",871
"obama",866
"online",862
"within",861
"spent",859
"although",857
"boy",855
"drive",854
"learn",853
"walk",850
"happen",849
"break",848
"yourself",844
"near",842
"single",842
"sounds",842
"dinner",840
"email",838
"director",836
"department",834
"possible",832
"space",830
"card",827
"strong",825
"district",824
"lives",824
"known",822
"visit",821
"sense",818
"crazy",813
"process",813
"tax",811
"major",810
"schools",810
"turned",807
"field",806
"understand",806
"2011",804
"loved",803
"paper",803
"looked",802
"2010",799
"send",798
"record",795
"hair",794
"himself",794
"church",792
"clear",791
"didn’t",790
"takes",788
"eyes",787
"general",787
"plans",787
"happened",786
"fire",782
"i’ve",782
"held",781
"wife",780
"west",779
"wow",779
"huge",778
"wonderful",778
"funny",777
"inside",776
"jobs",776
"giving",775
"control",774
"rock",774
"bed",773
"definitely",773
"interesting",773
"www",773
"that’s",772
"worth",772
"picture",770
"son",770
"level",769
"create",768
"yesterday",768
"nearly",767
"human",766
"site",764
"questions",760
"seeing",760
"worked",756
"longer",755
"she's",753
"ohio",751
"trip",751
"political",750
"services",747
"shows",747
"recently",745
"facebook",744
"super",744
"likely",742
"per",742
"met",740
"issue",739
"recent",739
"based",738
"haven't",738
"ones",738
"began",737
"hold",736
"fan",735
"campaign",733
"conference",733
"dont",733
"waiting",733
"race",732
"christmas",730
"finished",729
"goal",727
"stand",727
"education",726
"join",721
"wanna",721
"age",720
"continue",720
"club",719
"air",718
"bar",718
"america",717
"war",717
"washington",715
"act",711
"energy",708
"personal",708
"vote",707
"lots",706
"ball",704
"dog",704
"offer",703
"wine",702
"include",700
"blue",699
"companies",699
"became",697
"father",697
"fine",697
"middle",696
"cold",695
"lunch",695
"usually",695
"challenge",693
"return",693
"cleveland",692
"decision",692
"voice",692
"brought",689
"simply",689
"sound",689
"jersey",688
"weather",687
"brown",684
"sign",684
"cost",680
"couldn't",680
"cover",679
"seem",678
"answer",676
"hands",676
"page",673
"coffee",672
"research",671
"wonder",671
"door",670
"success",670
"okay",669
"boys",665
"issues",665
"above",664
"we'll",664
"knows",663
"career",662
"chicago",661
"problems",661
"earlier",658
"perhaps",658
"player",657
"seriously",657
"sent",656
"beat",655
"died",655
"gotta",655
"website",655
"expected",654
"price",654
"whose",654
"cannot",652
"pass",652
"moving",650
"dead",649
"attention",647
"budget",646
"david",645
"fuck",645
"ways",644
"band",641
"drink",641
"afternoon",640
"low",640
"step",640
"east",638
"events",638
"forget",638
"medical",638
"alone",636
"entire",634
"staff",633
"california",631
"followers",631
"luck",631
"sales",629
"details",628
"sad",627
"you'll",626
"spend",625
"cup",624
"due",623
"missed",622
"themselves",619
"round",618
"simple",618
"wrote",617
"feet",615
"mark",614
"practice",613
"dream",612
"study",612
"date",609
"safe",609
"current",608
"save",608
"billion",607
"main",607
"chicken",606
"100",605
"design",604
"exactly",604
"learned",603
"oil",603
"stories",603
"provide",601
"certain",600
"dance",600
"fight",600
"hospital",600
"teams",600
"training",599
"dark",597
"husband",597
"form",595
"jesus",595
"louis",595
"moved",595
"star",595
"heat",593
"piece",593
"table",593
"wouldn't",593
"whatever",592
"june",591
"choice",590
"position",590
"press",590
"role",590
"football",587
"student",587
"totally",587
"judge",586
"opportunity",586
"received",586
"tickets",586
"ideas",584
"key",584
"paid",584
"quickly",584
"opening",582
"congrats",580
"followed",580
"action",579
"focus",579
"can’t",578
"cute",578
"despite",578
"sun",578
"united",577
"beach",576
"ground",576
"busy",575
"example",575
"michael",575
"we've",573
"written",572
"test",571
"color",570
"extra",570
"bought",569
"lose",569
"council",568
"kid",568
"rain",568
"release",568
"brother",567
"financial",567
"fresh",567
"listen",567
"message",567
"chief",565
"interest",565
"itself",565
"finish",564
"pictures",564
"2009",563
"industry",563
"interested",563
"involved",563
"sick",563
"daily",562
"comment",561
"daughter",561
"style",561
"sit",560
"2008",559
"begin",559
"seven",559
"hall",558
"mine",558
"sports",558
"view",558
"created",557
"paul",557
"upon",555
"completely",554
"evening",554
"track",553
"bank",549
"member",549
"complete",547
"allow",542
"loss",542
"bowl",541
"international",541
"period",541
"proud",541
"rate",539
"agree",537
"ice",537
"gives",536
"league",536
"sitting",536
"credit",535
"eating",535
"further",535
"photo",535
"fast",534
"straight",534
"development",533
"anyway",532
"library",532
"spending",532
"text",532
"led",531
"relationship",531
"truth",531
"type",530
"released",529
"total",529
"difficult",528
"james",528
"wear",528
"aren't",527
"force",527
"listening",527
"private",527
"tired",527
"allowed",526
"amount",526
"dad",526
"learning",526
"economy",525
"note",525
"helped",524
"property",523
"data",522
"internet",522
"statement",522
"feels",521
"happens",521
"kept",520
"speak",520
"walking",520
"etc",519
"serious",519
"performance",518
"tweets",518
"restaurant",517
"smith",517
"account",516
"interview",516
"rights",516
"box",515
"changed",515
"changes",515
"land",515
"chris",513
"deep",513
"result",513
"stage",513
"“i",512
"album",512
"character",512
"chocolate",512
"figure",512
"enjoyed",511
"plus",511
"wall",511
"expect",510
"quality",510
"runs",510
"cheese",509
"defense",509
"hurt",509
"manager",508
"places",508
"common",507
"you've",507
"hotel",506
"biggest",505
"driving",505
"starts",505
"leaving",503
"cake",502
"certainly",500
"gift",500
"killed",500
"original",500
"spot",500
"executive",499
"quick",499
"born",498
"passed",496
"planning",496
"beyond",495
"calls",495
"mike",495
"miles",495
"portland",495
"higher",494
"tour",494
"beginning",493
"cream",493
"below",492
"catch",492
"grow",492
"mix",492
"version",492
"eye",491
"sort",491
"lord",490
"sale",490
"security",490
"situation",490
"contact",489
"fair",489
"seemed",489
"workers",489
"peace",488
"economic",487
"block",486
"ahead",484
"fear",484
"lovely",484
"rules",484
"similar",484
"you’re",484
"consider",483
"effort",483
"fell",483
"river",483
"blood",482
"doesn’t",482
"truly",482
"“the",481
"reported",481
"winter",481
"photos",480
"tough",480
"ended",479
"july",479
"pain",479
"union",479
"floor",478
"article",477
"growing",477
"employees",476
"results",476
"sister",476
"average",475
"choose",475
"costs",475
"increase",475
"eight",474
"mention",474
"sugar",474
"computer",473
"oregon",473
"taste",473
"title",473
